Trimestre;Tipo de producto;Corredor;Empresa;Tipo de servicio;Ingresos por venta de billetes (€);Plazas Ofertadas (Núm);Plazas.km Ofertadas (Plazas.km);Tren.km (Tren.km);Viajeros (Núm);Viajeros.km (Viajeros.km)
2016T1;Cercanías;Total;Total;OSP;;;5836879371;16638744;100892888;1924136032
2016T1;LD AV;Madrid-Alicante;Renfe Viajeros S.A.U.;Comercial;;;185703252;587646;355281;135603638
2016T1;LD AV;Madrid-Barcelona;Renfe Viajeros S.A.U.;Comercial;;;1229535141;3060141;1826917;852359177
2016T1;LD AV;Madrid-Málaga/Granada;Renfe Viajeros S.A.U.;Comercial;;;362652012;1009358;538725;247875607
2016T1;LD AV;Madrid-Sevilla;Renfe Viajeros S.A.U.;Comercial;;;444641331;1318513;785860;333002869
2016T1;LD AV;Madrid-Valencia;Renfe Viajeros S.A.U.;Comercial;;;299258736;824318;563933;215498752
2016T1;LD AV;Resto;Total;Comercial;;;584462368;1095464;647074;410404457
2016T1;LD Convencional;Total;Total;Comercial;;;1830425455;6876833;2572312;1053771582
2016T1;MD AV;Total;Total;OSP;;;431185884;1435739;1752984;206580964
2016T1;MD Convencional;Total;Total;OSP;;;2092715124;8584269;5443411;505175108
2016T2;Cercanías;Total;Total;OSP;;;5824819424;16609696;106825480;2035255069
2016T2;LD AV;Madrid-Alicante;Renfe Viajeros S.A.U.;Comercial;;;199019072;617014;399042;153321580
2016T2;LD AV;Madrid-Barcelona;Renfe Viajeros S.A.U.;Comercial;;;1301425368;3187669;2084953;992845133
2016T2;LD AV;Madrid-Málaga/Granada;Renfe Viajeros S.A.U.;Comercial;;;373118751;1024184;631520;288773728
2016T2;LD AV;Madrid-Sevilla;Renfe Viajeros S.A.U.;Comercial;;;459974750;1361793;904058;383411478
2016T2;LD AV;Madrid-Valencia;Renfe Viajeros S.A.U.;Comercial;;;300801910;829193;620891;237688484
2016T2;LD AV;Resto;Total;Comercial;;;651703834;1124362;767141;494861247
2016T2;LD Convencional;Total;Total;Comercial;;;1827536507;6889341;2820442;1161494429
2016T2;MD AV;Total;Total;OSP;;;436762812;1459397;1940205;231356947
2016T2;MD Convencional;Total;Total;OSP;;;2101381908;8583607;6094877;557824451
2016T3;Cercanías;Total;Total;OSP;;;5567867412;16473429;92803359;1774859692
2016T3;LD AV;Madrid-Alicante;Renfe Viajeros S.A.U.;Comercial;;;241856696;723656;452660;181806324
2016T3;LD AV;Madrid-Barcelona;Renfe Viajeros S.A.U.;Comercial;;;1147127129;2736989;1821447;867827351
2016T3;LD AV;Madrid-Málaga/Granada;Renfe Viajeros S.A.U.;Comercial;;;384029235;1055895;648362;307139165
2016T3;LD AV;Madrid-Sevilla;Renfe Viajeros S.A.U.;Comercial;;;392958171;1202304;716966;303686591
2016T3;LD AV;Madrid-Valencia;Renfe Viajeros S.A.U.;Comercial;;;258510638;715796;540773;206996836
2016T3;LD AV;Resto;Total;Comercial;;;789796732;1304875;928412;627913587
2016T3;LD Convencional;Total;Total;Comercial;;;1991497121;7290176;3277997;1412274606
2016T3;MD AV;Total;Total;OSP;;;424656691;1461563;1695420;204409862
2016T3;MD Convencional;Total;Total;OSP;;;2132510330;8731586;6153479;617530204
2016T4;Cercanías;Total;Total;OSP;;;5761905089;16827005;108388154;2064432081
2016T4;LD AV;Madrid-Alicante;Renfe Viajeros S.A.U.;Comercial;;;197354708;587340;373379;141908499
2016T4;LD AV;Madrid-Barcelona;Renfe Viajeros S.A.U.;Comercial;;;1298889661;3121429;2019026;946808747
2016T4;LD AV;Madrid-Málaga/Granada;Renfe Viajeros S.A.U.;Comercial;;;373095153;1036833;574854;264413562
2016T4;LD AV;Madrid-Sevilla;Renfe Viajeros S.A.U.;Comercial;;;460152061;1354541;865033;366449901
2016T4;LD AV;Madrid-Valencia;Renfe Viajeros S.A.U.;Comercial;;;298224612;812498;593367;226546049
2016T4;LD AV;Resto;Total;Comercial;;;596948709;1131785;692047;445272935
2016T4;LD Convencional;Total;Total;Comercial;;;1842307196;6959899;2769656;1136961985
2016T4;MD AV;Total;Total;OSP;;;433510721;1447282;1920548;234947695
2016T4;MD Convencional;Total;Total;OSP;;;2090407454;8669562;5626815;530276178
2017T1;Cercanías;Total;Total;OSP;;;5928258015;16995461;107296795;2051892625
2017T1;LD AV;Madrid-Alicante;Renfe Viajeros S.A.U.;Comercial;;;193867080;572168;360739;136613485
2017T1;LD AV;Madrid-Barcelona;Renfe Viajeros S.A.U.;Comercial;;;1288368245;3096645;1960745;921822489
2017T1;LD AV;Madrid-Málaga/Granada;Renfe Viajeros S.A.U.;Comercial;;;346696686;1013037;531912;245667293
2017T1;LD AV;Madrid-Sevilla;Renfe Viajeros S.A.U.;Comercial;;;451624975;1319709;820601;347788710
2017T1;LD AV;Madrid-Valencia;Renfe Viajeros S.A.U.;Comercial;;;306020942;829335;590802;225801098
2017T1;LD AV;Resto;Total;Comercial;;;555333277;1106895;621631;391565218
2017T1;LD Convencional;Total;Total;Comercial;;;1829038953;6937992;2589183;1038619577
2017T1;MD AV;Total;Total;OSP;;;421800427;1452686;1815866;214611200
2017T1;MD Convencional;Total;Total;OSP;;;2045334040;8552251;5355504;495101632
2017T2;Cercanías;Total;Total;OSP;;;5837487670;16906372;107408429;2037340196
2017T2;LD AV;Madrid-Alicante;Renfe Viajeros S.A.U.;Comercial;;;233686058;669066;448245;173658509
2017T2;LD AV;Madrid-Barcelona;Renfe Viajeros S.A.U.;Comercial;;;1367935542;3162071;2228142;1071631621
2017T2;LD AV;Madrid-Málaga/Granada;Renfe Viajeros S.A.U.;Comercial;;;377698815;1149348;673606;311652599
2017T2;LD AV;Madrid-Sevilla;Renfe Viajeros S.A.U.;Comercial;;;480393154;1453123;909090;383140917
2017T2;LD AV;Madrid-Valencia;Renfe Viajeros S.A.U.;Comercial;;;303909813;825406;642522;245820934
2017T2;LD AV;Resto;Total;Comercial;;;665959047;1176274;814444;524723600
2017T2;LD Convencional;Total;Total;Comercial;;;1918045626;7136508;3042463;1253776612
2017T2;MD AV;Total;Total;OSP;;;424911590;1457755;1969101;238148950
2017T2;MD Convencional;Total;Total;OSP;;;2066729013;8599127;6189605;587630072
2017T3;Cercanías;Total;Total;OSP;;;5543454832;16425146;94985366;1804884850
2017T3;LD AV;Madrid-Alicante;Renfe Viajeros S.A.U.;Comercial;;;244365954;717770;452006;180935716
2017T3;LD AV;Madrid-Barcelona;Renfe Viajeros S.A.U.;Comercial;;;1186670377;2707493;1910619;915657098
2017T3;LD AV;Madrid-Málaga/Granada;Renfe Viajeros S.A.U.;Comercial;;;380064258;1129353;665530;314764833
2017T3;LD AV;Madrid-Sevilla;Renfe Viajeros S.A.U.;Comercial;;;402075587;1215486;728121;307834391
2017T3;LD AV;Madrid-Valencia;Renfe Viajeros S.A.U.;Comercial;;;286958827;802068;567722;217398544
2017T3;LD AV;Resto;Total;Comercial;;;765713106;1243741;925444;626482644
2017T3;LD Convencional;Total;Total;Comercial;;;2029427890;7367543;3338638;1427155854
2017T3;MD AV;Total;Total;OSP;;;418198203;1457178;1676069;201815163
2017T3;MD Convencional;Total;Total;OSP;;;2100722972;8690634;6184117;614851675
2017T4;Cercanías;Total;Total;OSP;;;5790793042;16731259;113959314;2153427775
2017T4;LD AV;Madrid-Alicante;Renfe Viajeros S.A.U.;Comercial;;;206823786;603494;391458;149580945
2017T4;LD AV;Madrid-Barcelona;Renfe Viajeros S.A.U.;Comercial;;;1340448742;3112397;2053760;956608595
2017T4;LD AV;Madrid-Málaga/Granada;Renfe Viajeros S.A.U.;Comercial;;;369068407;1082541;605253;279168298
2017T4;LD AV;Madrid-Sevilla;Renfe Viajeros S.A.U.;Comercial;;;465023780;1370698;877131;370816558
2017T4;LD AV;Madrid-Valencia;Renfe Viajeros S.A.U.;Comercial;;;341202172;920700;634384;242571673
2017T4;LD AV;Resto;Total;Comercial;;;601318424;1111818;693779;437655551
2017T4;LD Convencional;Total;Total;Comercial;;;1876454612;6961445;2795842;1132304871
2017T4;MD AV;Total;Total;OSP;;;483184384;1451998;2191819;262869859
2017T4;MD Convencional;Total;Total;OSP;;;2098729217;8624920;5944686;560189336
2018T1;Cercanías;Total;Total;OSP;;110902963;5808314666;16735482;106578410;2014357127
2018T1;LD AV;Madrid-Alicante;Renfe Viajeros S.A.U.;Comercial;;479075;217498382;691322;400765;153502692
2018T1;LD AV;Madrid-Barcelona;Renfe Viajeros S.A.U.;Comercial;;2178714;1262976573;3053523;1834185;909972693
2018T1;LD AV;Madrid-Málaga/Granada;Renfe Viajeros S.A.U.;Comercial;;697073;357598449;1057724;563199;260702116
2018T1;LD AV;Madrid-Sevilla;Renfe Viajeros S.A.U.;Comercial;;988707;465680997;1366518;836357;353576514
2018T1;LD AV;Madrid-Valencia;Renfe Viajeros S.A.U.;Comercial;;864296;343861788;1016171;638226;245625504
2018T1;LD AV;Resto;Total;Comercial;;539994;576718791;1076880;668664;418667569
2018T1;LD Convencional;Total;Total;Comercial;;3434725;1917908833;6993423;2747321;1102729164
2018T1;MD AV;Total;Total;OSP;;3006053;468678541;1442829;2095132;245129748
2018T1;MD Convencional;Total;Total;OSP;;13202983;2047801218;8454987;5480986;513073634
2018T2;Cercanías;Total;Total;OSP;;112473805;5884411135;16948300;116417998;2187820297
2018T2;LD AV;Madrid-Alicante;Renfe Viajeros S.A.U.;Comercial;;505975;229712650;630935;442879;171378533
2018T2;LD AV;Madrid-Barcelona;Renfe Viajeros S.A.U.;Comercial;;2355667;1396093981;3278265;2161962;1091568726
2018T2;LD AV;Madrid-Málaga/Granada;Renfe Viajeros S.A.U.;Comercial;;755139;387386307;1095055;674043;311983523
2018T2;LD AV;Madrid-Sevilla;Renfe Viajeros S.A.U.;Comercial;;1090766;513381375;1439452;982789;413491644
2018T2;LD AV;Madrid-Valencia;Renfe Viajeros S.A.U.;Comercial;;850550;340646123;894335;662091;254426242
2018T2;LD AV;Resto;Total;Comercial;;567406;663811015;1019924;753368;490712229
2018T2;LD Convencional;Total;Total;Comercial;;3596102;2012928749;7286988;3146953;1285455869
2018T2;MD AV;Total;Total;OSP;;3086848;424203195;1475087;2009720;273975670
2018T2;MD Convencional;Total;Total;OSP;;13614997;2090653662;8554276;6276267;583669908
2018T3;Cercanías;Total;Total;OSP;;107852154;5654100794;16109020;99613837;1885518073
2018T3;LD AV;Madrid-Alicante;Renfe Viajeros S.A.U.;Comercial;;519374;235795796;716334;463628;184914525
2018T3;LD AV;Madrid-Barcelona;Renfe Viajeros S.A.U.;Comercial;;1995818;1183710985;2707520;1816330;924464457
2018T3;LD AV;Madrid-Málaga/Granada;Renfe Viajeros S.A.U.;Comercial;;777648;398933424;1139635;688702;326185088
2018T3;LD AV;Madrid-Sevilla;Renfe Viajeros S.A.U.;Comercial;;903206;424979226;1240290;767866;325463025
2018T3;LD AV;Madrid-Valencia;Renfe Viajeros S.A.U.;Comercial;;745977;297262020;819881;584651;224736718
2018T3;LD AV;Resto;Total;Comercial;;632291;822487255;1268283;967357;656808705
2018T3;LD Convencional;Total;Total;Comercial;;3734833;2100474561;7438232;3434834;1451571872
2018T3;MD AV;Total;Total;OSP;;2940664;517487137;1461908;2279776;233302417
2018T3;MD Convencional;Total;Total;OSP;;13334080;2119773622;8603907;6323146;622981593
2018T4;Cercanías;Total;Total;OSP;;110652293;5834952235;16495967;117973137;2230226581
2018T4;LD AV;Madrid-Alicante;Renfe Viajeros S.A.U.;Comercial;;490445;222662030;665132;426530;163890816
2018T4;LD AV;Madrid-Barcelona;Renfe Viajeros S.A.U.;Comercial;;2296585;1336672931;3128465;2057259;1021080470
2018T4;LD AV;Madrid-Málaga/Granada;Renfe Viajeros S.A.U.;Comercial;;772361;396221193;1056477;637295;294158565
2018T4;LD AV;Madrid-Sevilla;Renfe Viajeros S.A.U.;Comercial;;1065734;501959178;1426176;931619;391726431
2018T4;LD AV;Madrid-Valencia;Renfe Viajeros S.A.U.;Comercial;;856979;342198265;946749;646073;247604032
2018T4;LD AV;Resto;Total;Comercial;;574184;604460225;1110859;726493;452057617
2018T4;LD Convencional;Total;Total;Comercial;;3500328;1961455241;6978674;2944592;1193148370
2018T4;MD AV;Total;Total;OSP;;3052349;509327052;1468317;2269077;274811457
2018T4;MD Convencional;Total;Total;OSP;;13264966;2049935615;8392517;6134330;559688840
2019T1;Cercanías;Total;Total;OSP;;112047971;5935923947;16524598;115831948;2190227175
2019T1;LD AV;Madrid-Alicante;Renfe Viajeros S.A.U.;Comercial;;477643;216154850;653973;402112;154094400
2019T1;LD AV;Madrid-Barcelona;Renfe Viajeros S.A.U.;Comercial;;2289512;1320458765;3156919;1989990;982438346
2019T1;LD AV;Madrid-Málaga/Granada;Renfe Viajeros S.A.U.;Comercial;;752487;386025831;1088298;599629;277834890
2019T1;LD AV;Madrid-Sevilla;Renfe Viajeros S.A.U.;Comercial;;1042333;490938843;1402046;880500;371795721
2019T1;LD AV;Madrid-Valencia;Renfe Viajeros S.A.U.;Comercial;;858585;341769323;953576;629123;241488697
2019T1;LD AV;Resto;Total;Comercial;;552701;569199784;1065349;653144;400905236
2019T1;LD Convencional;Total;Total;Comercial;;3420109;1815398611;6889842;2657646;1040699022
2019T1;MD AV;Total;Total;OSP;;3138753;491212237;1467170;2156368;254011771
2019T1;MD Convencional;Total;Total;OSP;;13345643;2027521916;8291610;5459225;483088369
2019T2;Cercanías;Total;Total;OSP;;116645331;6000308257;16756781;113127772;2140222014
2019T2;LD AV;Madrid-Alicante;Renfe Viajeros S.A.U.;Comercial;;492561;222794742;671208;448871;175479262
2019T2;LD AV;Madrid-Barcelona;Renfe Viajeros S.A.U.;Comercial;;2325886;1360571089;3191699;2216496;1113630205
2019T2;LD AV;Madrid-Málaga/Granada;Renfe Viajeros S.A.U.;Comercial;;793161;407483943;1055245;721118;335513646
2019T2;LD AV;Madrid-Sevilla;Renfe Viajeros S.A.U.;Comercial;;1089395;513105045;1426787;992023;415317819
2019T2;LD AV;Madrid-Valencia;Renfe Viajeros S.A.U.;Comercial;;850283;338485058;947854;697542;268141114
2019T2;LD AV;Resto;Total;Comercial;;610034;701068398;1229146;872864;555465905
2019T2;LD Convencional;Total;Total;Comercial;;3602728;1931319131;7289021;3149248;1277590983
2019T2;MD AV;Total;Total;OSP;;3092269;483432467;1482117;2352336;282341064
2019T2;MD Convencional;Total;Total;OSP;;13703316;2060812633;8412143;6345439;565845130
2019T3;Cercanías;Total;Total;OSP;;121547663;5851758406;16116563;96770021;1830296568
2019T3;LD AV;Madrid-Alicante;Renfe Viajeros S.A.U.;Comercial;;535733;242341438;715252;485659;195422624
2019T3;LD AV;Madrid-Barcelona;Renfe Viajeros S.A.U.;Comercial;;2004182;1183331606;2533791;1899395;959711698
2019T3;LD AV;Madrid-Málaga/Granada;Renfe Viajeros S.A.U.;Comercial;;975435;511224159;1415891;850876;407969709
2019T3;LD AV;Madrid-Sevilla;Renfe Viajeros S.A.U.;Comercial;;940853;443141763;1326210;805230;338933105
2019T3;LD AV;Madrid-Valencia;Renfe Viajeros S.A.U.;Comercial;;751332;299982057;830559;644044;248412280
2019T3;LD AV;Resto;Total;Comercial;;609770;800969434;1316637;993221;658276718
2019T3;LD Convencional;Total;Total;Comercial;;3720289;2012110671;7249369;3442941;1450679784
2019T3;MD AV;Total;Total;OSP;;3051966;480804639;1481916;2028674;242855338
2019T3;MD Convencional;Total;Total;OSP;;13495754;2036737000;8254802;6313739;583307908
2019T4;Cercanías;Total;Total;OSP;;120160826;6069115965;16621614;117448712;2207725999
2019T4;LD AV;Madrid-Alicante;Renfe Viajeros S.A.U.;Comercial;;486809;220161526;666332;431889;165584479
2019T4;LD AV;Madrid-Barcelona;Renfe Viajeros S.A.U.;Comercial;;2251180;1339226655;3276591;2048559;1019556365
2019T4;LD AV;Madrid-Málaga/Granada;Renfe Viajeros S.A.U.;Comercial;;965169;505912467;1282803;774050;361643775
2019T4;LD AV;Madrid-Sevilla;Renfe Viajeros S.A.U.;Comercial;;1048629;493904259;1432057;936023;392253333
2019T4;LD AV;Madrid-Valencia;Renfe Viajeros S.A.U.;Comercial;;866970;345070826;963234;700683;269272142
2019T4;LD AV;Resto;Total;Comercial;;627793;646196410;1250821;699781;442025799
2019T4;LD Convencional;Total;Total;Comercial;;3464408;1848140658;7034617;2896078;1153722461
2019T4;MD AV;Total;Total;OSP;;3200687;501279234;1480798;2340053;276492827
2019T4;MD Convencional;Total;Total;OSP;;13644980;2040663355;8374333;6138505;536048717
2020T1;Cercanías;Total;Total;OSP;;102865238;5417275183;16471389;93350777;1734267912
2020T1;LD AV;Madrid-Alicante;Renfe Viajeros S.A.U.;Comercial;;421045;190427998;613757;325137;123958296
2020T1;LD AV;Madrid-Barcelona;Renfe Viajeros S.A.U.;Comercial;;1840584;1109825720;2681438;1507899;753318038
2020T1;LD AV;Madrid-Málaga/Granada;Renfe Viajeros S.A.U.;Comercial;;816305;427293531;1153472;569445;267769269
2020T1;LD AV;Madrid-Sevilla;Renfe Viajeros S.A.U.;Comercial;;889433;418897343;1277082;709035;299608518
2020T1;LD AV;Madrid-Valencia;Renfe Viajeros S.A.U.;Comercial;;764417;303931718;874355;542676;208666886
2020T1;LD AV;Resto;Total;Comercial;;520080;574118830;1112374;518588;329250012
2020T1;LD Convencional;Total;Total;Comercial;;2721164;1464456393;6025249;1985396;794580527
2020T1;MD AV;Total;Total;OSP;;2834711;456300230;1452363;1852122;214082209
2020T1;MD Convencional;Total;Total;OSP;;12163720;1784398663;7854049;4632812;392670546
2020T2;Cercanías;Total;Total;OSP;;54955415;2944198165;13228250;26695556;495642012
2020T2;LD AV;Madrid-Alicante;Renfe Viajeros S.A.U.;Comercial;;80684;36464570;191170;34102;13034618
2020T2;LD AV;Madrid-Barcelona;Renfe Viajeros S.A.U.;Comercial;;179052;116034489;515726;125221;59794797
2020T2;LD AV;Madrid-Málaga/Granada;Renfe Viajeros S.A.U.;Comercial;;102635;53904065;281683;58733;26540125
2020T2;LD AV;Madrid-Sevilla;Renfe Viajeros S.A.U.;Comercial;;88363;41618973;196626;42289;18168925
2020T2;LD AV;Madrid-Valencia;Renfe Viajeros S.A.U.;Comercial;;82504;32021716;155806;22017;8235199
2020T2;LD AV;Resto;Total;Comercial;;77398;63675257;277556;52746;38453048
2020T2;LD Convencional;Total;Total;Comercial;;522790;297261936;1858041;221129;96547022
2020T2;MD AV;Total;Total;OSP;;506178;87045750;499934;137540;22659974
2020T2;MD Convencional;Total;Total;OSP;;3360485;564968787;3582249;917277;84408557
2020T3;Cercanías;Total;Total;OSP;;104046637;5396317387;15211042;56242204;1055054120
2020T3;LD AV;Madrid-Alicante;Renfe Viajeros S.A.U.;Comercial;;334759;151676646;449068;216068;85519836
2020T3;LD AV;Madrid-Barcelona;Renfe Viajeros S.A.U.;Comercial;;821051;507505833;1281420;493257;238115464
2020T3;LD AV;Madrid-Málaga/Granada;Renfe Viajeros S.A.U.;Comercial;;480395;249618930;667699;314638;148697722
2020T3;LD AV;Madrid-Sevilla;Renfe Viajeros S.A.U.;Comercial;;346370;163140270;434131;215506;93518682
2020T3;LD AV;Madrid-Valencia;Renfe Viajeros S.A.U.;Comercial;;452893;175601399;484531;206814;78228876
2020T3;LD AV;Resto;Total;Comercial;;335525;302267359;658561;300951;192074593
2020T3;LD Convencional;Total;Total;Comercial;;1591123;902117934;3223142;1073716;462114899
2020T3;MD AV;Total;Total;OSP;;1607046;274248853;948434;738665;94169542
2020T3;MD Convencional;Total;Total;OSP;;9299334;1506865633;5910869;3033069;291359924
2020T4;Cercanías;Total;Total;OSP;;107105398;5532261101;15377682;62487087;1163121663
2020T4;LD AV;Madrid-Alicante;Renfe Viajeros S.A.U.;Comercial;;372887;169241818;522873;131197;45568807
2020T4;LD AV;Madrid-Barcelona;Renfe Viajeros S.A.U.;Comercial;;1066027;632921778;1636453;488429;221877607
2020T4;LD AV;Madrid-Málaga/Granada;Renfe Viajeros S.A.U.;Comercial;;434880;227738024;710978;183978;83627573
2020T4;LD AV;Madrid-Sevilla;Renfe Viajeros S.A.U.;Comercial;;363943;171417153;473224;171722;72882561
2020T4;LD AV;Madrid-Valencia;Renfe Viajeros S.A.U.;Comercial;;516930;206824846;590958;156687;59050394
2020T4;LD AV;Resto;Total;Comercial;;394845;406532576;663816;215778;123098190
2020T4;LD Convencional;Total;Total;Comercial;;2275748;1181970408;4493997;1002295;378513030
2020T4;MD AV;Total;Total;OSP;;1736070;298699810;1004717;689862;86241757
2020T4;MD Convencional;Total;Total;OSP;;9728001;1534166365;6083723;2746805;234078414
2021T1;Cercanías;Total;Total;OSP;;101379832;5300690486;15148693;59196069;1107618103
2021T1;LD AV;Madrid-Alicante;Renfe Viajeros S.A.U.;Comercial;;425963;194392642;619946;148405;51999668
2021T1;LD AV;Madrid-Barcelona;Renfe Viajeros S.A.U.;Comercial;;944493;594429131;1478171;523205;252881699
2021T1;LD AV;Madrid-Málaga/Granada;Renfe Viajeros S.A.U.;Comercial;;399427;208400916;549827;190449;87764405
2021T1;LD AV;Madrid-Sevilla;Renfe Viajeros S.A.U.;Comercial;;373036;175615988;471428;189116;79133013
2021T1;LD AV;Madrid-Valencia;Renfe Viajeros S.A.U.;Comercial;;502353;201507013;573621;162837;61733844
2021T1;LD AV;Resto;Total;Comercial;;303032;309572613;574725;173556;102065634
